d18O,sst
-3.793141953,21.171739470546342
-4.029101277,22.34645132357295
-4.347937129,23.140522270853467
-4.105150963,22.61865446413026
-4.093093236,22.578956624992358
-3.948935032,22.00335473933609
-3.866701429,21.591522441416757
-3.690450438,20.504543102585586
-3.619366169,19.987307518292603
-3.707415336,20.62128747406556
-3.933165077,21.92907779373624
-4.042270237,22.397300128798463
-3.990172851,22.18704381494925
-3.973676767,22.11539419166887
-3.983369822,22.15779102969104
-4.007805675,22.26093213411086
-3.653063835,20.238153892300893
-3.491115808,18.939467901084363
-3.662715773,20.30812688671631
-4.056811639,22.451641318007532
-4.08466613,22.55043780412072
-4.105918147,22.621136153533456
-4.078785694,22.53016007369088
-4.044418269,22.40544670050747
-4.023365935,22.323819455780153
-4.024020171,22.326416001995625
-3.929752285,21.912709866003254
-3.745088482,20.871305561862826
-3.755755727,20.939786389678225
-3.788559011,21.143979966499174
-3.906083585,21.79631912959516
-4.082043756,22.541433286418567
-4.279964632,23.047701557303938
-4.356151102,23.148932663632365
-4.126209483,22.68485843103555
-4.128909391,22.693058772571945
-4.056932734,22.452085887488963
-3.948680421,22.002173229174943
-3.761833429,20.97834721268135
-3.93349304,21.930645219740597
-4.148495529,22.750589677865875
-4.273469024,23.036662226671297
-4.520869931,23.18985122297633
-4.390264059,23.177386362247503
-4.221095287,22.933826390767848
-4.247634063,22.98900990423519
-4.140981403,22.72892500945811
-4.141235138,22.729664837408734
-3.764833212,20.997257639697715
-3.878498356,21.65432861534609
-3.873867312,21.629822015153835
-4.028724116,22.34497209506344
-4.277563857,23.043665508648346
-4.434341061,23.198696183656764
-4.340405226,23.132278425659138
-4.164152755,22.79410553452925
-4.127602805,22.6890984858115
-4.048845196,22.4221056250652
-3.83566141,21.420304417493796
-3.504902363,19.059184373413558
-4.168016083,22.8045046278138
-4.158978932,22.779969248100826
-4.233552737,22.960516481142264
-4.429409813,23.197177738163944
-4.424735717,23.195537143165694
-4.26184093,23.015955141663284
-4.071931113,22.506131705255683
-3.848684043,21.493189987491647
-3.670403,20.3632587253325
-3.793417328,21.173401454953776
-3.957128723,22.041066748320148
-4.197836586,22.880269382706786
-4.193264925,22.86917182324133
-4.073687906,22.512330210624626
-4.083514154,22.546489828402514
-4.140189835,22.72661328416156
-3.99872555,22.223231171464136
-3.98263335,22.154599325842
-4.004470857,22.247171784528945
-3.494165897,18.96610040403784
-3.78440473,21.118654151127743
-4.025690246,22.333026824969238
-3.973054371,22.112643077983947
-3.965954388,22.08101387224255
-3.978059366,22.134667783316957
-4.027090312,22.338549568919092
-4.031305715,22.355071626781395
-3.970054427,22.099333999828943
-3.88731287,21.7004418672729
-3.844995424,21.472699779606216
-4.061061567,22.46716515862215
-4.228416577,22.94968088477178
-4.403189616,23.185441094889256
-4.409539546,23.188849257709364
-4.460488373,23.20310343731292
-4.567157932,23.157550412355576
-4.673827491,23.0099470449333
-4.78049705,22.760293335046086
-4.887166609,22.408589282693995
-4.993836168,21.95483488787694
